Caramel candy;4;"piece - approx 3/4"" cube";26.462;7.11;0.76;7.446;5.83;5.175;0
Caramel candy, chocolate flavored;4;"piece - approx 3/4"" cube";26.462;7.11;0.76;7.446;5.83;5.175;0
Caramel candy, chocolate flavored with nuts;4;"piece - approx 3/4"" cube";26.516;7.112;0.761;7.496;5.83;5.175;0.001
Caramel candy, chocolate flavored with nuts, homemade;4;"piece - approx 3/4"" cube";19.39;1.479;0.16;15.853;0.823;1.075;0.001
Caramel candy, chocolate flavored, homemade;4;"piece - approx 3/4"" cube";19.335;1.477;0.158;15.802;0.823;1.075;0
Caramel candy, homemade;4;"piece - approx 3/4"" cube";19.335;1.477;0.158;15.802;0.823;1.075;0
Caramel candy, sugar free;2;piece;0.973;0;0;0;0.973;0;0
Caramel candy, with nuts;4;"piece - approx 3/4"" cube";26.516;7.112;0.761;7.496;5.83;5.175;0.001
Caramel candy, with nuts, homemade;4;"piece - approx 3/4"" cube";19.39;1.479;0.16;15.853;0.823;1.075;0.001
Caramel Creams;4;piece;11.485;5.268;0.31;4.056;0.798;1.063;17.637
Caramello;1;"regular size bar - each 1.6 OZ - 4 1/2"" long (4 sections)";24.999;2.555;0.327;16.864;4.364;1.815;0.406
Carob bar;1;bar - each 1.5 OZ;14.505;0.447;0;10.878;3.075;0;0.038
Carob chips, sweetened;1;tablespoon;5.27;0.065;0;5.204;0;0;0.004
Carob chips, unsweetened;1;tablespoon;3.159;0.335;0;0.917;1.861;0;0.02
Carob covered almonds;0.25;cup;8.173;0.259;0.023;6.275;1.536;0.009;0.172
Carob covered cashews;0.25;cup;8.313;0.24;0.017;6.464;1.536;0;2.342
Carob covered peanuts;0.25;cup;15.938;1.02;0.009;14.879;0;0;0.306
Carob covered raisins;0.25;cup;26.125;6.522;6.413;12.873;0;0;0.613
Carob covered walnuts;0.25;cup;7.803;0.24;0.019;5.952;1.536;0;0.032
Charleston Chew, Chocolate;1;"bar - each 1.88 OZ - 8 5/8"" x 1""";27.926;3.978;0.441;19.918;0.67;2.896;0.166
Charleston Chew, Strawberry;1;"bar - each 1.88 OZ - 8 5/8"" x 1""";27.926;3.978;0.441;19.918;0.67;2.896;0.166
Charleston Chew, Vanilla;1;"bar - each 1.88 OZ - 8 5/8"" x 1""";27.926;3.978;0.441;19.918;0.67;2.896;0.166
Charms Pops;1;lollipop;9.435;1.325;0.141;7.005;0;0.964;0
Cherry Cordials (Brach's);2;piece;30.961;0.08;0.066;30.289;0.82;0.001;0.144
Chewing gum;1;piece;1.91;0.082;0;1.82;0;0.008;0
Chewing gum, sugar free;1;piece;0;0;0;0;0;0;0
Chewy Lemonhead & Friends;26;piece;28;1.116;0.119;25.953;0;0.812;4.26
Chewy Runts (Wonka);1;package - each 1.8 OZ;43.192;42.114;0.138;0;0;0.94;0
Chewy Spree (Wonka);1;pouch - each 1.7 OZ;35.598;35.405;0;0;0;0.193;6.168
Chocolate bar, with caramel and nougat;1;regular size bar - each 2.05 OZ;35.073;1.296;0.174;31.005;2.121;0.971;0.314
Chocolate bar, with coconut;1;regular size bar - each 1.75 OZ - 2 pieces;21.001;2.205;0.24;17.165;0;1.225;1.593
Chocolate bar, with coconut center and almonds;1;regular size bar - each 1.61 OZ - 2 pieces;18.184;2.084;0.45;13.884;0.892;1.25;0.171
Chocolate bar, with peanut butter;1;package - each 1.5 OZ - 2 cups;19.811;0.042;0.042;19.853;1.315;0;0.491
Chocolate bar, with peanut butter, sugar free;0.5;package - each 3 OZ - 5 cups;0.601;0.009;0.024;0.453;0.114;0;0.501
Chocolate bar, with peanuts and caramel;1;bar - each 1.8 OZ;24.014;2.715;0.577;17.814;1.516;1.674;0.194
Chocolate bar, with peanuts, caramel and nougat;1;regular size bar - each 2.1 OZ;32.4;4.116;1.164;26.25;0.828;1.326;0.408
Chocolate bar, with toffee;1;regular size bar - each 1.4 OZ;23.357;0.031;0.031;22.538;1.244;0;0.207
Chocolate candy, coconut center;3;piece - each 0.5 OZ;18.001;1.89;0.206;14.713;0;1.05;1.365
Chocolate candy, coconut center, sugar free;3;piece - each 0.5 OZ;0.375;0.059;0.071;0.018;0.222;0;0.315
Chocolate candy, cream center;1;large - each 1.52 OZ;30.711;1.514;0.108;29.124;0;0.645;0.421
Chocolate candy, fondant center;1;large - each 1.52 OZ;30.711;1.514;0.108;29.124;0;0.645;0.421
Chocolate candy, fruit or jelly center;3;piece;24.666;6.081;4.826;13.242;0.894;0;5.557
Chocolate candy, fruit or jelly center, sugar free;3;piece - each 0.5 OZ;0.301;0;0.033;0.016;0.245;0;0.349
Chocolate candy, marshmallow center;4;medium - medium egg - each 0.4 OZ;24.526;2.691;0.31;18.167;1.003;1.94;0.986
Chocolate candy, mint center;1;"large - 2 1/2"" diameter x 1/2""";30.711;1.514;0.108;29.124;0;0.645;0.421
